city,country,date,polarity_score
El Paso,us,02-07-2020,-0.142204444
Nashville,us,02-07-2020,-0.031450843
Detroit,us,02-07-2020,-0.00204918
Portland,us,02-07-2020,0.06830510000000001
Las Vegas,us,02-07-2020,-0.122595478
Oklahoma City,us,02-07-2020,-0.089616438
Memphis,us,02-07-2020,0.055555172
Louisville,us,02-07-2020,-0.003374138
Baltimore,us,02-07-2020,0.151525205
Milwaukee,us,02-07-2020,0.17579130399999998
Albuquerque,us,02-07-2020,-0.137454878
Tucson,us,02-07-2020,-0.091785385
Fresno,us,02-07-2020,0.220624324
Mesa,us,02-07-2020,-0.023380242
Atlanta,us,02-07-2020,0.0242682
Sacramento,us,02-07-2020,-0.023216316
Kansas City,us,02-07-2020,0.103382759
Miami,us,02-07-2020,-0.07278810000000001
Colorado Springs,us,02-07-2020,-0.047035593
Raleigh,us,02-07-2020,0.104680734
Omaha,us,02-07-2020,0.207233333
Long Beach,us,02-07-2020,0.051808333
Virginia Beach,us,02-07-2020,0.323709459
Minneapolis,us,02-07-2020,0.128954464
Oakland,us,02-07-2020,0.1300297
Tampa,us,02-07-2020,0.057505155
Arlington,us,02-07-2020,0.015186003
Tulsa,us,02-07-2020,0.06034090900000001
Bakersfield,us,02-07-2020,0.182244444
Mumbai,india,03-07-2020,0.2319174
Delhi,india,03-07-2020,0.1950139
Bangalore,india,03-07-2020,0.16448859999999998
Hyderabad,india,03-07-2020,-0.0649696
Ahmedabad,india,03-07-2020,0.080793103
Chennai,india,03-07-2020,-0.3474467
Kolkata,india,03-07-2020,0.0729919
Surat,india,03-07-2020,0.0
Pune,india,03-07-2020,0.309267589
Jaipur,india,03-07-2020,0.35221907
Visakhapatnam,india,03-07-2020,0.319414286
Nagpur,india,03-07-2020,0.190890476
Lucknow,india,03-07-2020,0.175996454
Kanpur,india,03-07-2020,-0.17835142899999998
Thane,india,03-07-2020,0.2282452
Bhopal,india,03-07-2020,-0.00379
Indore,india,03-07-2020,0.243223529
Pimpri-Chinchwad,india,03-07-2020,0.309267589
Patna,india,03-07-2020,-0.02894569
Vadodara,india,03-07-2020,0.171109524
Toronto,canada,03-07-2020,0.1410708
Montreal,canada,03-07-2020,-0.0490322
Calgary,canada,03-07-2020,0.140444915
Ottawa,canada,03-07-2020,0.116988125
Edmonton,canada,03-07-2020,0.127464103
Mississauga,canada,03-07-2020,0.1473938
North York,canada,03-07-2020,0.14874520000000002
Winnipeg,canada,03-07-2020,0.252809677
Scarborough,canada,03-07-2020,0.7845
Vancouver,canada,03-07-2020,-0.033119739
Quebec,canada,03-07-2020,0.0
Hamilton,canada,03-07-2020,0.141513441
Brampton,canada,03-07-2020,0.132150909
Surrey,canada,03-07-2020,0.124610256
Laval,canada,03-07-2020,0.0
Halifax,canada,03-07-2020,0.067582353
Etobicoke,canada,03-07-2020,0.1491738
London,canada,03-07-2020,0.015807033999999998
Okanagan,canada,03-07-2020,0.240234783
Victoria,canada,03-07-2020,0.0
New York,us,03-07-2020,0.2329407000000001
Los Angeles,us,03-07-2020,0.2149937
Chicago,us,03-07-2020,0.0831895
Houston,us,03-07-2020,0.0425839
Phoenix,us,03-07-2020,-0.012853132
Philadelphia,us,03-07-2020,0.06290839
San Antonio,us,03-07-2020,-0.033956391
San Diego,us,03-07-2020,0.1632119
Dallas,us,03-07-2020,0.044872904000000005
San Jose,us,03-07-2020,0.026937767
Austin,us,03-07-2020,0.0067018
Fort Worth,us,03-07-2020,0.064305556
Jacksonville,us,03-07-2020,0.044972778
Columbus,us,03-07-2020,0.021636054
Charlotte,us,03-07-2020,0.072561026
San Francisco,us,03-07-2020,0.13648039999999995
Indianapolis,us,03-07-2020,0.118543671
Seattle,us,03-07-2020,-0.021800152000000003
Denver,us,03-07-2020,0.118129747
Washington,us,03-07-2020,0.0648095
Boston,us,03-07-2020,-0.1743316
El Paso,us,03-07-2020,-0.14995434800000002
Nashville,us,03-07-2020,-0.021317528
Detroit,us,03-07-2020,0.033387978
Portland,us,03-07-2020,0.116531278
Las Vegas,us,03-07-2020,-0.121419188
Oklahoma City,us,03-07-2020,-0.074474684
Memphis,us,03-07-2020,0.0851
Louisville,us,03-07-2020,-0.0226
Baltimore,us,03-07-2020,0.150871959
Milwaukee,us,03-07-2020,0.182193617
Albuquerque,us,03-07-2020,-0.14237439
Tucson,us,03-07-2020,-0.095821774
Fresno,us,03-07-2020,0.192578378
Mesa,us,03-07-2020,-0.015190794
Atlanta,us,03-07-2020,0.0045731
Sacramento,us,03-07-2020,0.008171053000000001
Kansas City,us,03-07-2020,0.089733761
