index,city,country,date,polarity_score
139,San Jose,us,02-07-2020,0.036622249
140,Austin,us,02-07-2020,0.0251556
141,Fort Worth,us,02-07-2020,0.06661269
142,Jacksonville,us,02-07-2020,0.037942308
143,Columbus,us,02-07-2020,0.004176
144,Charlotte,us,02-07-2020,0.061409444
145,San Francisco,us,02-07-2020,0.126644
146,Indianapolis,us,02-07-2020,0.115418239
147,Seattle,us,02-07-2020,-0.021127854
148,Denver,us,02-07-2020,0.111388024
149,Washington,us,02-07-2020,-0.0075752
150,Boston,us,02-07-2020,-0.1772887
151,El Paso,us,02-07-2020,-0.142204444
152,Nashville,us,02-07-2020,-0.031450843
153,Detroit,us,02-07-2020,-0.00204918
154,Portland,us,02-07-2020,0.0683051
155,Las Vegas,us,02-07-2020,-0.122595478
156,Oklahoma City,us,02-07-2020,-0.089616438
157,Memphis,us,02-07-2020,0.055555172
158,Louisville,us,02-07-2020,-0.003374138
159,Baltimore,us,02-07-2020,0.151525205
160,Milwaukee,us,02-07-2020,0.175791304
161,Albuquerque,us,02-07-2020,-0.137454878
162,Tucson,us,02-07-2020,-0.091785385
163,Fresno,us,02-07-2020,0.220624324
164,Mesa,us,02-07-2020,-0.023380242
165,Atlanta,us,02-07-2020,0.0242682
166,Sacramento,us,02-07-2020,-0.023216316
167,Kansas City,us,02-07-2020,0.103382759
168,Miami,us,02-07-2020,-0.0727881
169,Colorado Springs,us,02-07-2020,-0.047035593
170,Raleigh,us,02-07-2020,0.104680734
171,Omaha,us,02-07-2020,0.207233333
172,Long Beach,us,02-07-2020,0.051808333
173,Virginia Beach,us,02-07-2020,0.323709459
174,Minneapolis,us,02-07-2020,0.128954464
175,Oakland,us,02-07-2020,0.1300297
176,Tampa,us,02-07-2020,0.057505155
177,Arlington,us,02-07-2020,0.015186003
178,Tulsa,us,02-07-2020,0.060340909
179,Bakersfield,us,02-07-2020,0.182244444
180,Mumbai,india,03-07-2020,0.2319174
181,Delhi,india,03-07-2020,0.1950139
182,Bangalore,india,03-07-2020,0.1644886
183,Hyderabad,india,03-07-2020,-0.0649696
184,Ahmedabad,india,03-07-2020,0.080793103
185,Chennai,india,03-07-2020,-0.3474467
186,Kolkata,india,03-07-2020,0.0729919
187,Surat,india,03-07-2020,0.0
188,Pune,india,03-07-2020,0.309267589
189,Jaipur,india,03-07-2020,0.35221907
190,Visakhapatnam,india,03-07-2020,0.319414286
191,Nagpur,india,03-07-2020,0.190890476
192,Lucknow,india,03-07-2020,0.175996454
193,Kanpur,india,03-07-2020,-0.178351429
194,Thane,india,03-07-2020,0.2282452
195,Bhopal,india,03-07-2020,-0.00379
196,Indore,india,03-07-2020,0.243223529
197,Pimpri-Chinchwad,india,03-07-2020,0.309267589
198,Patna,india,03-07-2020,-0.02894569
199,Vadodara,india,03-07-2020,0.171109524
200,Toronto,canada,03-07-2020,0.1410708
201,Montreal,canada,03-07-2020,-0.0490322
202,Calgary,canada,03-07-2020,0.140444915
203,Ottawa,canada,03-07-2020,0.116988125
204,Edmonton,canada,03-07-2020,0.127464103
205,Mississauga,canada,03-07-2020,0.1473938
206,North York,canada,03-07-2020,0.1487452
207,Winnipeg,canada,03-07-2020,0.252809677
208,Scarborough,canada,03-07-2020,0.7845
209,Vancouver,canada,03-07-2020,-0.033119739
210,Quebec,canada,03-07-2020,0.0
211,Hamilton,canada,03-07-2020,0.141513441
212,Brampton,canada,03-07-2020,0.132150909
213,Surrey,canada,03-07-2020,0.124610256
214,Laval,canada,03-07-2020,0.0
215,Halifax,canada,03-07-2020,0.067582353
216,Etobicoke,canada,03-07-2020,0.1491738
217,London,canada,03-07-2020,0.015807034
218,Okanagan,canada,03-07-2020,0.240234783
219,Victoria,canada,03-07-2020,0.0
220,New York,us,03-07-2020,0.2329407
221,Los Angeles,us,03-07-2020,0.2149937
222,Chicago,us,03-07-2020,0.0831895
223,Houston,us,03-07-2020,0.0425839
224,Phoenix,us,03-07-2020,-0.012853132
225,Philadelphia,us,03-07-2020,0.06290839
226,San Antonio,us,03-07-2020,-0.033956391
227,San Diego,us,03-07-2020,0.1632119
228,Dallas,us,03-07-2020,0.044872904
229,San Jose,us,03-07-2020,0.026937767
230,Austin,us,03-07-2020,0.0067018
231,Fort Worth,us,03-07-2020,0.064305556
232,Jacksonville,us,03-07-2020,0.044972778
233,Columbus,us,03-07-2020,0.021636054
234,Charlotte,us,03-07-2020,0.072561026
235,San Francisco,us,03-07-2020,0.1364804
236,Indianapolis,us,03-07-2020,0.118543671
237,Seattle,us,03-07-2020,-0.021800152
238,Denver,us,03-07-2020,0.118129747
239,Washington,us,03-07-2020,0.0648095
240,Boston,us,03-07-2020,-0.1743316
241,El Paso,us,03-07-2020,-0.149954348
242,Nashville,us,03-07-2020,-0.021317528
243,Detroit,us,03-07-2020,0.033387978
244,Portland,us,03-07-2020,0.116531278
245,Las Vegas,us,03-07-2020,-0.121419188
246,Oklahoma City,us,03-07-2020,-0.074474684
247,Memphis,us,03-07-2020,0.0851
248,Louisville,us,03-07-2020,-0.0226
249,Baltimore,us,03-07-2020,0.150871959
250,Milwaukee,us,03-07-2020,0.182193617
251,Albuquerque,us,03-07-2020,-0.14237439
252,Tucson,us,03-07-2020,-0.095821774
253,Fresno,us,03-07-2020,0.192578378
254,Mesa,us,03-07-2020,-0.015190794
255,Atlanta,us,03-07-2020,0.0045731
256,Sacramento,us,03-07-2020,0.008171053
257,Kansas City,us,03-07-2020,0.089733761
258,Miami,us,03-07-2020,-0.0623153
259,Colorado Springs,us,03-07-2020,-0.047872131
260,Raleigh,us,03-07-2020,0.10885
261,Omaha,us,03-07-2020,0.198944
262,Long Beach,us,03-07-2020,0.06025
263,Virginia Beach,us,03-07-2020,0.299083824
264,Minneapolis,us,03-07-2020,0.109671981
265,Oakland,us,03-07-2020,0.1368064
266,Tampa,us,03-07-2020,0.025927975
267,Arlington,us,03-07-2020,0.039466086
268,Tulsa,us,03-07-2020,0.068
269,Bakersfield,us,03-07-2020,0.182244444
270,Mumbai,india,01-07-2020,0.1669596
271,Delhi,india,01-07-2020,0.171408333
272,Bangalore,india,01-07-2020,0.154331767
273,Hyderabad,india,01-07-2020,0.1023622
274,Ahmedabad,india,01-07-2020,0.047656242
275,Chennai,india,01-07-2020,-0.1778637
276,Kolkata,india,01-07-2020,0.037780742
277,Surat,india,01-07-2020,0.0
278,Pune,india,01-07-2020,0.308683785
279,Jaipur,india,01-07-2020,0.350163109
280,Visakhapatnam,india,01-07-2020,0.390005873
281,Nagpur,india,01-07-2020,0.170876984
282,Lucknow,india,01-07-2020,0.25084603
283,Kanpur,india,01-07-2020,-0.229857058
284,Thane,india,01-07-2020,0.167733233
285,Bhopal,india,01-07-2020,0.050237602
286,Indore,india,01-07-2020,0.272279315
287,Pimpri-Chinchwad,india,01-07-2020,0.309770681
288,Patna,india,01-07-2020,-0.023934097
289,Vadodara,india,01-07-2020,0.127696825
290,Toronto,canada,01-07-2020,0.128926933
291,Montreal,canada,01-07-2020,-0.0612623
292,Calgary,canada,01-07-2020,0.198208523
293,Ottawa,canada,01-07-2020,0.098099073
294,Edmonton,canada,01-07-2020,0.131317745
295,Mississauga,canada,01-07-2020,0.131819533
296,North York,canada,01-07-2020,0.134897467
297,Winnipeg,canada,01-07-2020,0.18865062
298,Scarborough,canada,01-07-2020,0.523
299,Vancouver,canada,01-07-2020,-0.029802247
300,Quebec,canada,01-07-2020,0.0
301,Hamilton,canada,01-07-2020,0.128253666
302,Brampton,canada,01-07-2020,0.116115477
303,Surrey,canada,01-07-2020,0.118111598
304,Laval,canada,01-07-2020,0.0
305,Halifax,canada,01-07-2020,0.159267137
306,Etobicoke,canada,01-07-2020,0.134315833
307,London,canada,01-07-2020,0.040626645
308,Okanagan,canada,01-07-2020,0.219242572
309,Victoria,canada,01-07-2020,0.0
310,New York,us,01-07-2020,0.1434732
311,Los Angeles,us,01-07-2020,0.109882667
312,Chicago,us,01-07-2020,0.017355
313,Houston,us,01-07-2020,0.021919467
314,Phoenix,us,01-07-2020,-0.012988559
315,Philadelphia,us,01-07-2020,0.059036
316,San Antonio,us,01-07-2020,0.020603559
317,San Diego,us,01-07-2020,0.171747867
318,Dallas,us,01-07-2020,0.011262776
319,San Jose,us,01-07-2020,0.058417788
320,Austin,us,01-07-2020,0.022775267
321,Fort Worth,us,01-07-2020,0.071321397
322,Jacksonville,us,01-07-2020,0.041536567
323,Columbus,us,01-07-2020,0.018178359
324,Charlotte,us,01-07-2020,0.044656823
325,San Francisco,us,01-07-2020,0.111413533
326,Indianapolis,us,01-07-2020,0.147691624
327,Seattle,us,01-07-2020,0.018034491
328,Denver,us,01-07-2020,0.105643954
329,Washington,us,01-07-2020,0.025604933
330,Boston,us,01-07-2020,-0.135804767
331,El Paso,us,01-07-2020,-0.136507317
332,Nashville,us,01-07-2020,-0.032460905
333,Detroit,us,01-07-2020,0.026557924
334,Portland,us,01-07-2020,0.062267393
335,Las Vegas,us,01-07-2020,-0.122222137
336,Oklahoma City,us,01-07-2020,-0.044521041
337,Memphis,us,01-07-2020,0.045943391
338,Louisville,us,01-07-2020,-0.004030835
339,Baltimore,us,01-07-2020,0.150347039
340,Milwaukee,us,01-07-2020,0.190518783
341,Albuquerque,us,01-07-2020,-0.124712534
342,Tucson,us,01-07-2020,-0.07049186
343,Fresno,us,01-07-2020,0.237186086
344,Mesa,us,01-07-2020,-0.014415665
345,Atlanta,us,01-07-2020,0.021502809
346,Sacramento,us,01-07-2020,-0.032612353
347,Kansas City,us,01-07-2020,0.124764244
348,Miami,us,01-07-2020,-0.047600333
349,Colorado Springs,us,01-07-2020,-0.053812028
350,Raleigh,us,01-07-2020,0.094443261
351,Omaha,us,01-07-2020,0.135392444
352,Long Beach,us,01-07-2020,0.074025684
353,Virginia Beach,us,01-07-2020,0.317700572
354,Minneapolis,us,01-07-2020,0.124481266
355,Oakland,us,01-07-2020,0.110780267
356,Tampa,us,01-07-2020,0.042169695
357,Arlington,us,01-07-2020,0.009257495
358,Tulsa,us,01-07-2020,0.054914537
359,Bakersfield,us,01-07-2020,0.208162963
360,Mumbai,india,05-07-2020,0.157589
361,Delhi,india,05-07-2020,0.0789525
362,Bangalore,india,05-07-2020,0.1588885
363,Hyderabad,india,05-07-2020,-0.0867286
364,Ahmedabad,india,05-07-2020,-0.011948276
365,Chennai,india,05-07-2020,0.114598
366,Kolkata,india,05-07-2020,0.073774947
367,Surat,india,05-07-2020,0.0
368,Pune,india,05-07-2020,0.069291931
369,Jaipur,india,05-07-2020,0.312833714
370,Visakhapatnam,india,05-07-2020,0.330337838
371,Nagpur,india,05-07-2020,0.199568182
372,Lucknow,india,05-07-2020,0.153455556
373,Kanpur,india,05-07-2020,-0.003226087
374,Thane,india,05-07-2020,0.1551813
375,Bhopal,india,05-07-2020,0.104473684
376,Indore,india,05-07-2020,0.201521429
377,Pimpri-Chinchwad,india,05-07-2020,0.069009969
378,Patna,india,05-07-2020,-0.139137931
379,Vadodara,india,05-07-2020,0.204321429
380,Toronto,canada,05-07-2020,0.1558198
381,Montreal,canada,05-07-2020,-0.01185149
382,Calgary,canada,05-07-2020,0.119095789
383,Ottawa,canada,05-07-2020,0.126034273
